,Country,date,confirmed,tests,cases/100 tests,media2days,media3days,cumulative
173,Netherlands,2020-03-23,573,2822,20.3047484053863,21.3043349870069,22.6871607253703,4204
174,Netherlands,2020-03-24,545,4636,11.755823986195,16.0302861957906,18.1214979867362,4749
175,Netherlands,2020-03-25,811,3797,21.3589676060047,16.5573957960999,17.8065133325287,5560
176,Netherlands,2020-03-26,852,3499,24.3498142326379,22.8543909193213,19.1548686082792,6412
177,Netherlands,2020-03-27,1019,3806,26.7735155018392,25.5616648672385,24.1607657801606,7431
178,Netherlands,2020-03-28,1172,2840,41.2676056338028,34.020560567821,30.7969784560933,8603
179,Netherlands,2020-03-29,1159,1997,58.0370555833751,49.6523306085889,42.026058906339,9762
180,Netherlands,2020-03-30,1104,3247,34.0006159531876,46.0188357682813,44.4350923901218,10866
181,Netherlands,2020-03-31,884,4123,21.4406985204948,27.7206572368412,37.8261233523525,11750
182,Netherlands,2020-04-01,845,3897,21.6833461637157,21.5620223421052,25.708220212466,12595
183,Netherlands,2020-04-02,1019,3377,30.1747112822031,25.9290287229594,24.4329186554712,13614
184,Netherlands,2020-04-03,1083,NA,NA,NA,NA,14697
185,Netherlands,2020-04-04,1026,NA,NA,NA,NA,15723
186,Belgium,2020-03-01,0,56,NA,NA,NA,0
187,Belgium,2020-03-02,1,282,0.354609929078014,NA,NA,1
188,Belgium,2020-03-03,6,476,1.26050420168067,0.807557065379343,NA,7
189,Belgium,2020-03-04,5,631,0.792393026941363,1.02644861431102,0.802502385900016,12
190,Belgium,2020-03-05,10,701,1.4265335235378,1.10946327523958,1.15981025071995,22
191,Belgium,2020-03-06,27,1012,2.66798418972332,2.04725885663056,1.62897024673416,49
192,Belgium,2020-03-07,59,406,14.5320197044335,8.60000194707841,6.20884580589821,108
193,Belgium,2020-03-08,60,399,15.0375939849624,14.784806844698,10.7458659597064,168
194,Belgium,2020-03-09,31,552,5.61594202898551,10.326768006974,11.7285185727938,199
195,Belgium,2020-03-10,39,763,5.11140235910878,5.36367219404714,8.5883127910189,238
196,Belgium,2020-03-11,28,1024,2.734375,3.92288867955439,4.48723979603143,266
197,Belgium,2020-03-12,47,1412,3.328611898017,3.0314934490085,3.72479641904193,313
198,Belgium,2020-03-13,85,2406,3.53283458021613,3.43072323911656,3.19860715941104,398
199,Belgium,2020-03-14,160,1996,8.01603206412826,5.77443332217219,4.95915951412046,558
200,Belgium,2020-03-15,130,1159,11.2165660051769,9.61629903465257,7.58847754984042,688
201,Belgium,2020-03-16,197,1700,11.5882352941176,11.4024006496473,10.2736111211409,885
202,Belgium,2020-03-17,199,1927,10.3269330565646,10.9575841753411,11.043911451953,1084
203,Belgium,2020-03-18,158,2383,6.63029794376836,8.47861550016648,9.51515543148354,1242
204,Belgium,2020-03-19,243,2955,8.22335025380711,7.42682409878773,8.39352708471336,1485
205,Belgium,2020-03-20,309,2581,11.9721038357226,10.0977270447648,8.94191734443269,1794
206,Belgium,2020-03-21,462,1997,23.1347020530796,17.5534029444011,14.4433853808698,2256
207,Belgium,2020-03-22,558,1194,46.7336683417085,34.9341851973941,27.2801580768369,2814
208,Belgium,2020-03-23,586,2658,22.0466516177577,34.3901599797331,30.6383406708486,3400
209,Belgium,2020-03-24,342,3336,10.2517985611511,16.1492250894544,26.3440395068724,3742
210,Belgium,2020-03-25,526,3668,14.340239912759,12.296019236955,15.5462300305559,4268
211,Belgium,2020-03-26,668,3761,17.7612337144377,16.0507368135983,14.1177573961159,4936
212,Belgium,2020-03-27,1298,3964,32.744702320888,25.2529680176628,21.6153919826949,6234
213,Belgium,2020-03-28,1049,3348,31.3321385902031,32.0384204555455,27.2793582085096,7283
214,Belgium,2020-03-29,1850,2029,91.1779201577132,61.2550293739581,51.7515870229347,9133
215,Belgium,2020-03-30,1702,3324,51.2033694344164,71.1906447960648,57.9044760607775,10835
216,Belgium,2020-03-31,1063,4986,21.3196951464099,36.2615322904132,54.5669949128465,11898
217,Belgium,2020-04-01,876,4426,19.7921373700859,20.5559162582479,30.7717339836374,12774
218,Belgium,2020-04-02,1189,4219,28.1820336572648,23.9870855136753,23.0979553912535,13963
219,Belgium,2020-04-03,1384,NA,NA,NA,NA,15347
220,Belgium,2020-04-04,1422,NA,NA,NA,NA,16769
