"","Country","Code","Date","DeathsTotal","NewDeaths"
"6386","Nigeria","NGA",2020-02-28,0,NA
"6387","Nigeria","NGA",2020-02-29,0,NA
"6388","Nigeria","NGA",2020-03-01,0,NA
"6389","Nigeria","NGA",2020-03-02,0,NA
"6390","Nigeria","NGA",2020-03-10,0,NA
"6391","Nigeria","NGA",2020-03-15,0,NA
"6392","Nigeria","NGA",2020-03-16,0,NA
"6393","Nigeria","NGA",2020-03-17,0,NA
"6394","Nigeria","NGA",2020-03-18,0,NA
"6395","Nigeria","NGA",2020-03-19,0,NA
"6396","Nigeria","NGA",2020-03-20,0,NA
"6397","Nigeria","NGA",2020-03-21,0,NA
"6398","Nigeria","NGA",2020-03-22,0,NA
"6399","Nigeria","NGA",2020-03-23,0,NA
"6400","Nigeria","NGA",2020-03-24,1,NA
"6401","Nigeria","NGA",2020-03-25,1,NA
"6402","Nigeria","NGA",2020-03-26,1,NA
"6403","Nigeria","NGA",2020-03-27,1,NA
"6404","Nigeria","NGA",2020-03-28,1,NA
"6405","Nigeria","NGA",2020-03-29,1,NA
"6406","Nigeria","NGA",2020-03-30,1,NA
"6407","Nigeria","NGA",2020-03-31,2,NA
"6408","Nigeria","NGA",2020-04-01,2,NA
"6409","Nigeria","NGA",2020-04-02,2,NA
"6410","Nigeria","NGA",2020-04-03,2,NA
"6411","Nigeria","NGA",2020-04-04,2,NA
"6412","Nigeria","NGA",2020-04-05,4,NA
"6413","North America",NA,2019-12-31,0,NA
"6414","North America",NA,2020-01-01,0,NA
"6415","North America",NA,2020-01-02,0,NA
"6416","North America",NA,2020-01-03,0,NA
"6417","North America",NA,2020-01-04,0,NA
"6418","North America",NA,2020-01-05,0,NA
"6419","North America",NA,2020-01-06,0,NA
"6420","North America",NA,2020-01-07,0,NA
"6421","North America",NA,2020-01-08,0,NA
"6422","North America",NA,2020-01-09,0,NA
"6423","North America",NA,2020-01-10,0,NA
"6424","North America",NA,2020-01-11,0,NA
"6425","North America",NA,2020-01-12,0,NA
"6426","North America",NA,2020-01-13,0,NA
"6427","North America",NA,2020-01-14,0,NA
"6428","North America",NA,2020-01-15,0,NA
"6429","North America",NA,2020-01-16,0,NA
"6430","North America",NA,2020-01-17,0,NA
"6431","North America",NA,2020-01-18,0,NA
"6432","North America",NA,2020-01-19,0,NA
"6433","North America",NA,2020-01-20,0,NA
"6434","North America",NA,2020-01-21,0,NA
"6435","North America",NA,2020-01-22,0,NA
"6436","North America",NA,2020-01-23,0,NA
"6437","North America",NA,2020-01-24,0,NA
"6438","North America",NA,2020-01-25,0,NA
"6439","North America",NA,2020-01-26,0,NA
"6440","North America",NA,2020-01-27,0,NA
"6441","North America",NA,2020-01-28,0,NA
"6442","North America",NA,2020-01-29,0,NA
"6443","North America",NA,2020-01-30,0,NA
"6444","North America",NA,2020-01-31,0,NA
"6445","North America",NA,2020-02-01,0,NA
"6446","North America",NA,2020-02-02,0,NA
"6447","North America",NA,2020-02-03,0,NA
"6448","North America",NA,2020-02-04,0,NA
"6449","North America",NA,2020-02-05,0,NA
"6450","North America",NA,2020-02-06,0,NA
"6451","North America",NA,2020-02-07,0,NA
"6452","North America",NA,2020-02-08,0,NA
"6453","North America",NA,2020-02-09,0,NA
"6454","North America",NA,2020-02-10,0,NA
"6455","North America",NA,2020-02-11,0,NA
"6456","North America",NA,2020-02-12,0,NA
"6457","North America",NA,2020-02-13,0,NA
